CELL/ANTIGEN,D,C,E,c,e,f,Cw,V,K,k,Kpa,Kpb,Jsa,Jsb,Fya,Fyb,Jka,Jkb,Xga,Lea,Leb,S,s,M,N,P1,Lua,Lub,Test Results at IS*,Test Results at 37C,Test Results at AHG**,Final test results
11,"""+""","""+""","""0""","""0""","""+""","""0""","""0""","""0""","""+""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""0""","""+""",0,0,3+,"""+"""
Panel B             12,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
13,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
14,"""0""","""0""","""0""","""+""","""+""","""+""","""0""","""0""","""+""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
15,"""+""","""0""","""+""","""+""","""0""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""0""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""0""","""+""",0,0,0,"""0"""
16,"""+""","""0""","""+""","""+""","""0""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
17,"""+""","""+""","""+""","""+""","""0""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""0""","""+""","""+""","""0""","""0""","""0""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
18,"""+""","""+""","""0""","""0""","""+""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""+""","""0""","""+""","""+""","""0""","""+""","""+""",0,0,0,"""0"""
19,"""+""","""+""","""0""","""0""","""+""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""/""","""+""","""+""","""0""","""0""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
20,"""+""","""+""","""+""","""0""","""+""","""0""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""0""","""+""","""0""","""0""","""+""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
21,"""0""","""+""","""0""","""+""","""+""","""+""","""0""","""0""","""0""","""+""","""0""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""+""","""0""","""+""","""+""","""+""","""0""","""+""","""0""","""+""",0,0,0,"""0"""
22,"""+""","""+""","""0""","""+""","""+""","""+""","""0""","""0""","""+""","""+""","""0""","""+""","""/""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""","""0""","""+""","""+""","""+""","""+""","""0""","""+""",0,0,0,"""0"""
Auto control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"""0"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarks:,IS*: Immediate spin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AHG**: Anti-human globulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot Number,VRA417,VRB303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiration,11/15/2022,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer,Ortho,Ortho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
